name,followers,popularity,genres,image_url,external_url
Sonata Arctica,445615,60,"['finnish metal', 'finnish power metal', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']",https://i.scdn.co/image/6f271317fe999862e1b3d5d8906d0d19cfa52f51,https://open.spotify.com/artist/5YeoQ1L71cXDMpSpqxOjfH
Avantasia,298478,57,"['german metal', 'melodic metal', 'metal', 'neo classical metal', 'opera metal', 'power metal', 'symphonic metal']",https://i.scdn.co/image/e6a4fed077f4ab7777c45dd1552e9c1355036953,https://open.spotify.com/artist/1Ih0fEQQsy9EeAJbYEeQRa
Luca Turilli,65140,42,"['italian metal', 'italian power metal', 'melodic metal', 'neo classical metal', 'power metal', 'symphonic metal']",https://i.scdn.co/image/70be5f6fc2baf5e2ac511ea1a905a47e804225fe,https://open.spotify.com/artist/2jqA2OsMhBDu0M2GLDIvsH
Dark Moor,53633,42,"['melodic metal', 'neo classical metal', 'power metal', 'spanish metal', 'symphonic metal', 'symphonic power metal']",https://i.scdn.co/image/d72fdb9ce8520196f6e7fd7a2524feecca8b5e9d,https://open.spotify.com/artist/0YWKRTzA4kBceGwjywtMkh
Blind Guardian,476650,59,"['german metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'speed metal', 'symphonic metal']",https://i.scdn.co/image/ab6772690000dd22131ce8946cbe55c7585aa60f,https://open.spotify.com/artist/7jxJ25p0pPjk0MStloN6o6
Rhapsody Of Fire,267953,49,"['italian folk metal', 'italian metal', 'italian power metal', 'melodic metal', 'neo classical metal', 'power metal', 'symphonic metal']",https://i.scdn.co/image/11ad977b685d797f32c3465adefbb9b975758b44,https://open.spotify.com/artist/2GnCQNJbs4xqFulqAdAg2U
Demons & Wizards,79722,46,"['german metal', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']",https://i.scdn.co/image/ad6c10ca056ebaf5a39910068b190ca53adee3c4,https://open.spotify.com/artist/4O6RDLeFX5xuQ7IePFzVcl
Masterplan,67409,44,"['german metal', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal']",https://i.scdn.co/image/07188c51738101ab414bc08c288950423cc7dbec,https://open.spotify.com/artist/1OHNvr18TssBKYK0A75yvx
Northern Kings,46095,39,"['finnish power metal', 'gothic metal', 'melodic metal', 'neo classical metal', 'power metal', 'symphonic metal']",https://i.scdn.co/image/e91629b6a120065899190c89875741f93a3c853e,https://open.spotify.com/artist/2mKiBiT7SkTNNgWqaZynfw
Edguy,190932,53,"['german metal', 'hard rock', 'melodic metal', 'metal', 'neo classical metal', 'power metal', 'progressive metal', 'symphonic metal']",https://i.scdn.co/image/ab6772690000dd22ec078670d746fddbe7674e78,https://open.spotify.com/artist/3AGFqPP3gt5rMSvhR87Xxu
Epica,577211,61,"['dutch metal', 'gothic metal', 'gothic symphonic metal', 'neo classical metal', 'opera metal', 'power metal', 'symphonic metal']",https://i.scdn.co/image/f92856918ff9e5b0be2f092d074cc297fff25f14,https://open.spotify.com/artist/5HA5aLY3jJV7eimXWkRBBp
